Type.hybrid.1,MMI.hybrid,Replicate,SampleDate,StationID
Reference,1.195055478,1,8.10.10,000CAT148
Reference,1.151447996,1,8.10.10,000CAT228
Intermediate,0.934588174,1,8.9.10,102PS0139
Reference,1.196512781,1,8.28.12,102PS0177
Reference,1.209135987,2,8.28.12,102PS0177
Reference,0.8369236,1,9.14.10,103CDCHHR
Reference,0.904994536,2,9.14.10,103CDCHHR
NA,0.989387074,1,7.15.14,103FC1106
Intermediate,0.950795926,1,7.24.13,103FCA168
Reference,0.977297031,1,9.14.10,103KLCMSR
Intermediate,0.847263432,1,9.10.13,103PS0217
Intermediate,0.911892595,1,7.21.11,103RDCBCC
Reference,0.948586376,1,8.9.11,103STCNSR
Reference,1.088924791,1,8.15.12,103WER026
Reference,1.209040966,2,8.15.12,103WER026
Reference,0.826314458,1,7.16.14,103WER029
Reference,0.96828249,1,8.10.11,103WER030
Reference,0.991491464,1,9.21.10,105BVCAGC
Reference,0.824516494,1,7.23.14,105CE0329
Reference,1.090374763,1,8.10.10,105CLCATC
NA,1.100787282,1,7.23.14,105CR0901
NA,1.069189114,1,8.11.14,105CR0901
NA,1.210942086,1,8.12.14,105CR0906
NA,0.844472887,1,7.22.14,105CR0908
NA,1.00782883,1,8.12.14,105CR0913
NA,0.826418879,1,7.23.14,105CR1004
Reference,0.962793828,1,10.20.09,105DLCDCC
Reference,1.087005873,1,5.19.09,105DLCDCC
Reference,1.128179545,1,6.23.09,105DLCDCC
Reference,1.043477768,1,8.5.09,105DLCDCC
Reference,1.074830814,1,9.15.09,105DLCDCC
NA,1.152460445,1,8.5.14,105FC1116
NA,1.095845424,1,7.30.14,105FC1120
NA,0.940434574,1,7.22.14,105FC1297
Reference,0.790428931,1,7.16.13,105FCA116
Reference,0.975854738,1,9.24.13,105FS0416
Reference,1.065372395,1,8.10.11,105FS0425
Reference,0.972454217,1,8.3.11,105FS0428
Reference,1.128699867,1,6.26.13,105NWC151
Intermediate,0.913700764,1,8.12.08,105PS0028
Intermediate,0.995877625,1,8.26.08,105PS0028
Reference,1.002370173,1,9.17.08,105PS0043
Intermediate,0.96897918,1,8.24.09,105PS0067
Intermediate,0.932043021,2,8.24.09,105PS0067
Intermediate,0.918991909,1,9.15.09,105PS0067
Intermediate,1.019021831,1,8.18.09,105PS0069
Reference,1.130424045,1,9.8.09,105PS0083
Reference,1.090382285,1,8.25.09,105PS0090
Reference,0.962777227,1,8.7.12,105PS0090
Intermediate,1.062079932,1,8.11.08,105PS0092
Reference,0.906836689,1,7.22.14,105PS0097
Reference,0.979744887,1,9.8.09,105PS0097
Reference,1.072970489,2,9.8.09,105PS0097
Intermediate,0.887168937,1,9.14.09,105PS0107
Intermediate,1.0975913,1,8.11.10,105PS0129
Intermediate,1.163362449,2,8.11.10,105PS0129
Intermediate,1.003614652,1,8.29.12,105PS0149
Reference,1.054709827,1,8.9.11,105PS0154
Reference,1.098280178,2,8.9.11,105PS0154
Stressed,0.932967308,1,8.26.08,105PS0188
Stressed,0.933025954,2,8.26.08,105PS0188
Reference,1.264317267,1,8.29.12,105PS0193
Reference,1.220998892,1,8.7.12,105PS0195
Intermediate,0.867216691,1,8.20.13,105PS0211
Intermediate,1.004991326,1,9.16.13,105PS0211
Intermediate,1.005131422,1,8.29.13,105PS0231
Reference,0.998250458,1,9.17.13,105PS0259
Reference,1.095252934,1,7.21.14,105PS0267
Intermediate,0.851423087,1,9.1.09,105PS0276
Intermediate,1.257122206,1,9.22.09,105PS0276
Reference,1.046931721,1,9.1.09,105PS0468
Intermediate,1.039105043,1,8.5.10,105PS0540
Reference,0.934813377,1,9.15.10,105PS0540
Reference,1.163370489,1,8.3.10,105PS0660
Reference,1.146598861,2,8.3.10,105PS0660
Intermediate,0.977808091,1,9.18.12,105PS1148
Intermediate,0.898090046,1,8.28.13,105PS1404
Intermediate,0.953817839,2,8.28.13,105PS1404
Reference,1.141201256,1,8.6.14,105PS1492
Reference,0.983959511,1,8.10.10,105TMCACC
Reference,0.800941254,1,7.24.14,105WE0598
Reference,1.084268275,1,6.26.13,105WLC135
Reference,0.974194371,1,8.3.11,105WLCABC
Stressed,1.03247709,1,7.24.14,106FC1183
Stressed,1.159545154,1,7.23.14,106FC1313
Intermediate,1.112679497,1,7.15.13,106FCA036
Reference,0.741141015,1,8.30.11,106FS0040
Intermediate,0.936343142,1,9.23.13,106HLCACC
Reference,0.911240787,1,10.1.08,106MNCAHC
Reference,0.898902699,2,10.1.08,106MNCAHC
Intermediate,0.743618396,1,9.30.08,106PS0022
Intermediate,1.138722851,1,9.16.08,106PS0051
Intermediate,1.278023577,2,9.16.08,106PS0051
Stressed,1.23465105,1,8.26.09,106PS0078
Intermediate,0.991044875,1,9.8.09,106PS0106
Intermediate,0.953907151,2,9.8.09,106PS0106
Reference,0.962569737,1,9.21.10,106PS0115
Intermediate,1.039936009,1,9.20.10,106PS0122
Reference,0.979306938,1,8.16.10,106PS0124
Intermediate,1.039405441,1,7.19.10,106PS0142
Reference,1.026511877,1,8.2.11,106PS0166
Stressed,1.28200543,1,8.4.11,106PS0173
Stressed,1.036144925,1,9.26.12,106PS0186
Intermediate,1.136757629,1,10.3.12,106PS0206
Intermediate,1.146010328,1,9.2.08,106PTCAHC
Reference,0.850450868,1,7.21.14,106WE0505
Reference,0.957897098,1,8.8.12,106WE1079
Reference,1.051584587,1,9.11.13,106WER011
Reference,1.087057835,1,10.20.09,106WER016
Reference,1.089086977,1,5.18.09,106WER016
Reference,1.071113859,1,6.22.09,106WER016
Reference,1.092396422,1,8.4.09,106WER016
Reference,1.236501249,1,9.16.09,106WER016
Intermediate,0.857030546,1,9.15.10,107GWCAPC
Reference,0.963773222,1,9.13.10,107LLM101
Reference,0.815507504,1,7.14.14,107PS0021
Reference,0.896330257,1,9.3.08,107PS0021
Intermediate,0.98195394,1,8.3.11,107RWCBHW
Intermediate,0.816360084,2,8.3.11,107RWCBHW
Reference,0.984388141,1,8.27.12,107WER092
